"Pathways"	"Object ID"	"Reaction-List"
CYSTEINE-DEG-PWY	"CYSTEINE-DEG-PWY"	3-SULFINYL-PYRUVATE-SPON-RXN // 3-SULFINOALANINE-AMINOTRANSFERASE-RXN // CYSTEINE-DIOXYGENASE-RXN
PWY-6896	"PWY-6896"	THI-P-KIN-RXN // THIKIN-RXN
PWY-5947	"PWY-5947"	RXN-5962 // RXN-5961 // RXN1F-148
PWY-7659	"PWY-7659"	GPPSYN-RXN // RXN-16582 // RXN-16581 // RXN-16580 // RXN-16579 // RXN-16578 // RXN-16577 // RXN-16576 // RXN-16575
PWY-5329	"PWY-5329"	MERCAPYSTRANS-RXN // CYSTEINE-AMINOTRANSFERASE-RXN
PWY-7779	"PWY-7779"	ACETYL-COA-ACETYLTRANSFER-RXN // RXN-11662 // RXN-17605 // RXN-17606 // RXN-17603 // RXN-17602 // RXN-17610 // RXN-17615 // RXN-17613 // RXN-17612
LCYSDEG-PWY	"LCYSDEG-PWY"	RXN-15127 // RXN-15124 // RXN-15129
PWY-7404	"PWY-7404"	RXN-15020
PWY-6279	"PWY-6279"	RXN-16059 // RXN-10647 // RXN-10646 // RXN-10645 // RXN-10644 // RXN-10643
PWY-7769	"PWY-7769"	RXN-17195 // RXN-17196 // RXN-17197 // RXN-17198 // RXN-17192 // RXN-17191 // RXN-17190 // RXN-17189 // RXN-17188 // 4.1.1.82-RXN // RXN-10837 // RXN-10828 // RXN-10827 // RXN-10826 // RXN-10829 // RXN-10830 // RXN-10831 // RXN-10832 // RXN-10833 // RXN-10834 // RXN-10835 // RXN-10836 // RXN-10824 // RXN-9009 // PHOSPHOENOLPYRUVATE-MUTASE-RXN
PWY3O-4106	"PWY3O-4106"	RIBOSYLNICOTINAMIDE-KINASE-RXN // 2.7.7.1-RXN
PWY-7780	"PWY-7780"	RXN-17643 // RXN-17642 // RXN-17641 // RXN-17638
HOMOCYSDEGR-PWY	"HOMOCYSDEGR-PWY"	RXN-15130 // CYSTATHIONINE-BETA-SYNTHASE-RXN
PWY-6899	"PWY-6899"	RXN-12613 // RXN-12612
PWY-7838	"PWY-7838"	RXN-18300 // RXN-18299 // RXN-18298 // 2.4.1.88-RXN // 2.4.1.79-RXN // 2.4.1.228-RXN // CERAMIDE-GLUCOSYLTRANSFERASE-RXN // RXN-12119
PWY-6280	"PWY-6280"	RXN-10648 // RXN-10649 // RXN-10650 // RXN-10651 // RXN-10652 // RXN-10653
PWY-8036	"PWY-8036"	RXN-20296 // RXN-20295 // RXN-20294 // RXN-20293 // RXN-20292 // RXN-20283 // RXN-20284 // RXN-20286 // RXN-20287 // RXN-20288 // RXN-20289 // RXN-20290 // RXN-20291
PWY-8009	"PWY-8009"	RXN-19824 // 2.5.1.65-RXN
PWY-7776	"PWY-7776"	RXN-17587 // RXN-17590 // RXN-17586 // RXN-17585 // RXN-17583 // RXN-17582 // RXN-17581 // RXN-17580
PWY-I9	"PWY-I9"	O-SUCCHOMOSERLYASE-RXN // CYSTATHIONINE-BETA-SYNTHASE-RXN // RXN-7605 // SAM-PWY // RIBOSYLHOMOCYSTEINASE-RXN // ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN
PWY-7841	"PWY-7841"	RXN-18313 // RXN-18312 // RXN-18311 // RXN-18308 // RXN-18307 // RXN-18306 // 2.4.99.10-RXN // 2.4.1.163-RXN // CERAMIDE-GLUCOSYLTRANSFERASE-RXN // RXN-12119 // 2.4.1.206-RXN // RXN-12229
PWY-6286	"PWY-6286"	RXN-10670 // RXN-10669 // RXN-10668 // RXN-10667 // RXN-10666 // RXN-10665
PWY-5940	"PWY-5940"	PHOSPHOGLUCMUT-RXN // MYO-INOSITOL-2-DEHYDROGENASE-RXN // RXN-11099 // RXN-11098 // 2.6.1.56-RXN // RXN-11097 // 3.1.3.40-RXN // STREPTOMYCIN-6-KINASE-RXN // 2.7.7.33-RXN // RXN-9469 // RXN-9467 // STREPTOMYCIN-6-PHOSPHATASE-RXN // RXN-9471 // RXN-9470 // 2.4.2.27-RXN // 2.1.4.2-RXN // SCYLLO-INOSAMINE-KINASE-RXN // 2.6.1.50-RXN
CYSTSYN-PWY	"CYSTSYN-PWY"	ACSERLY-RXN // SERINE-O-ACETTRAN-RXN
PYRIDNUCSYN-PWY	"PYRIDNUCSYN-PWY"	L-ASPARTATE-OXID-RXN // QUINOLINATE-SYNTHA-RXN // QUINOPRIBOTRANS-RXN // NAD-SYNTH-NH3-RXN // NAD-SYNTH-GLN-RXN // NICONUCADENYLYLTRAN-RXN
PWY-7181	"PWY-7181"	THYM-PHOSPH-RXN // URA-PHOSPH-RXN // CYTIDEAM-RXN
PWY-5534	"PWY-5534"	RXN-8806 // 1.14.13.69-RXN // RXN-8805 // 4.2.99.19-RXN // 1.1.1.268-RXN // 1.1.1.269-RXN // 1.8.1.5-RXN
PWY-6293	"PWY-6293"	PWY-801 // PWY-5344
PWY-6898	"PWY-6898"	THIAMIN-PYROPHOSPHOKINASE-RXN
SPHINGOLIPID-SYN-PWY	"SPHINGOLIPID-SYN-PWY"	RXN-20397 // RXN-12642 // RXN-20396 // RXN-20394 // RXN3O-680 // RXN3O-663 // RXN3O-581 // RXN3O-328 // RXN3O-1380 // 3-DEHYDROSPHINGANINE-REDUCTASE-RXN // SERINE-C-PALMITOYLTRANSFERASE-RXN
PWY-6287	"PWY-6287"	RXNARA-8002 // RXN-8024 // RXN-8023 // 2.5.1.32-RXN // RXN-8022
PWY-6919	"PWY-6919"	RXNMETA-12666 // RXN-12664 // RXN-12663 // RXN-12662 // RXN-12661 // RXN-12658 // RXN-12652 // RXN-12650 // RXN-12649 // PENTALENENE-SYNTHASE-RXN // RXN-12651
PWY-7870	"PWY-7870"	PRODISULFREDUCT-A-RXN // SERINE-O-ACETTRAN-RXN // SULFOCYS-RXN // RXN-18586
PWY-1341	"PWY-1341"	3.1.2.25-RXN // 1.17.5.1-RXN // RXN-10819 // PHENGLYOXRED-RXN
PWY-7778	"PWY-7778"	RXN-17588 // RXN-17589 // RXN-17602 // RXN-17603 // RXN-17606 // RXN-17605 // RXN-11662 // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-8010	"PWY-8010"	2.5.1.65-RXN // PGLYCDEHYDROG-RXN // PSERTRANSAM-RXN
P2-PWY	"P2-PWY"	CITRATE-PRO-3S-LYASE-THIOLESTERASE-RXN // CITC-RXN // 2.3.1.49-RXN // 2.7.8.25-RXN // 2.7.7.61-RXN
PWY-7836	"PWY-7836"	RXN-18297 // RXN-18296 // RXN-18295 // RXN-18294 // RXN-18286 // RXN-18287 // RXN-18285 // RXN-18281 // RXN-18280 // RXN-18279 // RXN-18278 // RXN-18274 // RXN-18275 // RXN-18270 // RXN-18271 // 2.4.99.2-RXN // GANGLIOSIDE-GALACTOSYLTRANSFERASE-RXN // 2.4.1.92-RXN // 2.4.99.9-RXN // 2.4.99.11-RXN // CERAMIDE-GLUCOSYLTRANSFERASE-RXN // RXN-12119
PWY-6288	"PWY-6288"	RXN-10673 // RXN-10672
NADSYN-PWY	"NADSYN-PWY"	PWY-5653 // PWY-5651
PWY-7419	"PWY-7419"	RXN-15082 // RXN-15081 // RXN-15080 // RXN-15078 // RXN-15079 // RXN-15077 // RXN-15076 // RXN-15075 // RXN-15074 // PHOSPHOENOLPYRUVATE-MUTASE-RXN
PWY-6292	"PWY-6292"	HOMOCYSDEGR-PWY // METHIONINE-DEG1-PWY
PWY0-321	"PWY0-321"	RXN-2425 // RXN-10819 // RXNMETA-12672 // RXNMETA-12671 // RXN0-6510 // RXN0-6512 // RXN0-2042 // RXN0-2044 // RXN-3641
PWY-7777	"PWY-7777"	RXN-17596 // RXN-17591 // RXN-17592 // RXN-17593 // RXN-17594 // RXN-17595
PWY-7289	"PWY-7289"	RXN-14567 // RXN-14564 // RXN-14565 // RXN-14566
P241-PWY	"P241-PWY"	RXN-7970 // HOMOACONITATE-HYDRATASE-RXN // RXN3O-1983 // HOMOCITRATE-SYNTHASE-RXN // R227-RXN // R226-RXN // R225-RXN // R224-RXN // R218-RXN // R217-RXN // R216-RXN // R215-RXN // R214-RXN // R213-RXN // R212-RXN // R211-RXN
PWY-7840	"PWY-7840"	RXN-18303 // RXN-18302 // RXN-18301 // 2.4.1.47-RXN // RXN-18291
PWY-6581	"PWY-6581"	RXN-12412 // RXN-11653 // RXN-11652 // RXN-11651 // RXN-11650 // RXN-11649 // RXN-11648 // RXN-11647 // RXN-10643
PWY-7670	"PWY-7670"	RXN-16700 // RXN-16699 // RXN-16698
PWY-6572	"PWY-6572"	RXN-11572 // 4.2.2.5-RXN // RXN-12178 // RXN-12177 // RXN-11615 // 4.2.2.21-RXN // CHONDRO-4-SULFATASE-RXN // CHONDRO-6-SULFATASE-RXN
PWY-5196	"PWY-5196"	DIMETHUROPORDEHYDROG-RXN // RXN-8675 // UROPORIIIMETHYLTRANSA-RXN // RXN-8063 // RXN-8061 // RXN-8060 // RXN-8059
PWY-7765	"PWY-7765"	RXN-17500 // RXN-17499 // RXN-8665 // ARYLFORMAMIDASE-RXN // KYNURENINE-3-MONOOXYGENASE-RXN
PWY3DJ-12	"PWY3DJ-12"	RXN-7792 // RXN-16332 // 3-DEHYDROSPHINGANINE-REDUCTASE-RXN // SERINE-C-PALMITOYLTRANSFERASE-RXN
PWY-6809	"PWY-6809"	RXN-8074 // RXN1F-155
PWY-7809	"PWY-7809"	PWY-7811 // PWY-7812
PWY-2881	"PWY-2881"	RXN-4736 // RXN-4733 // RXN-4731 // RXN-4729 // RXN-4727 // RXN-4724 // RXN-4721
PWY-7761	"PWY-7761"	NAD-SYNTH-GLN-RXN // NADPYROPHOSPHAT-RXN // NMNAMIDOHYDRO-RXN // NICONUCADENYLYLTRAN-RXN
PWY-7027	"PWY-7027"	RXN-18563 // RXN-18562 // RXN-18561 // RXN-18560
PWY-5967	"PWY-5967"	BETA-9-CYTOKININ-ALANINE-SYNTHASE-RXN
PWY-7717	"PWY-7717"	RXN-17072 // RXN-8665 // ARYLFORMAMIDASE-RXN // KYNURENINE-3-MONOOXYGENASE-RXN // RXN-17069 // RXN-17068
PWY-5198	"PWY-5198"	RXN-20703 // RXN-19230 // RXN-19229 // 1.5.99.9-RXN // RXN-8078 // RXN-8077
PWY-5129	"PWY-5129"	RXN-7792 // RXN-14250 // RXN-11341 // SPHINGANINE-KINASE-RXN // RXN-7801 // RXN-7799 // RXN-7798 // RXN-7796 // RXN-7795 // RXN-7793 // RXN3O-1380 // SERINE-C-PALMITOYLTRANSFERASE-RXN // 3-DEHYDROSPHINGANINE-REDUCTASE-RXN
PWY-7175	"PWY-7175"	RXN-14017 // RXN-14016
PWY-8040	"PWY-8040"	ALARACECAT-RXN // RXN-20431 // RXN-20425 // RXN-20424 // RXN-18014 // RXN-20415 // RXN-20329 // RXN-20327 // RXN-20328
PWY-2781	"PWY-2781"	RXN0-6274 // RXN-4545 // RXN-4541 // RXN-4542 // RXN-4544
PWY-7644	"PWY-7644"	4.2.2.7-RXN // RXN-16483 // RXN-16484 // DISULFOGLUCOSAMINE-6-SULFATASE-RXN // N-SULFOGLUCOSAMINE-SULFOHYDROLASE-RXN
PWY-7026	"PWY-7026"	RXN-13243
PWY-2902	"PWY-2902"	RXN-4737 // RXN-4735 // RXN-4726 // RXN-4723
PWY-5199	"PWY-5199"	RXN-8081 // RXN-8080
PWY-7839	"PWY-7839"	RXN-18310 // RXN-18309 // 2.4.1.86-RXN // CERAMIDE-GLUCOSYLTRANSFERASE-RXN // RXN-12119 // GALACTOSIDE-2-L-FUCOSYLTRANSFERASE-RXN // 2.4.1.206-RXN
PWY3O-19	"PWY3O-19"	RXN-20172 // RXN3O-73 // RXN3O-12 // RXN-9003 // RXN3O-102 // RXN3O-75 // RXN3O-54 // RXN3O-58
PWY-7393	"PWY-7393"	PWY-5942 // PWY-5943
PWY-5631	"PWY-5631"	1.14.11.26-RXN // 1.14.20.1-RXN // 5.1.1.17-RXN
PWY-2681	"PWY-2681"	RXN-4307 // RXN-4305 // RXN-4303 // RXN-4317 // RXN-4313 // RXN-4314 // RXN-4308 // RXN-4312 // RXN-4306 // RXN-4310 // RXN-4304
PYRIDNUCSAL-PWY	"PYRIDNUCSAL-PWY"	NICOTINAMID-RXN // NAD-SYNTH-GLN-RXN // NMNNUCLEOSID-RXN // NICOTINATEPRIBOSYLTRANS-RXN // NADPYROPHOSPHAT-RXN // NICONUCADENYLYLTRAN-RXN
PWY-7869	"PWY-7869"	RXN-18555 // RXN-18556 // RXN-18557 // RXN-18558
PWY-7881	"PWY-7881"	RXN-18649 // RXN-18650 // RXN-18652 // RXN-18651 // RXN-18648
PWY-6118	"PWY-6118"	RXN-15745 // 1.1.1.8-RXN
PWY-2901	"PWY-2901"	RXN-4734 // RXN-4732 // RXN-4730 // RXN-4728 // RXN-4725 // RXN-4722
PWY-5254	"PWY-5254"	RXN-15949 // RXN-15947 // RXN-15945 // RXN-15944 // RXN-15946 // TYROSINE-DECARBOXYLASE-RXN // RXN-8123 // RXN-8119
PWY-8042	"PWY-8042"	RXN-20388 // RXN-20387 // RXN-20361 // RXN-20360 // RXN-20359 // RXN-20358 // RXN-20357 // RXN-20356 // RXN-20353 // RXN-20354 // RXN-20355
PWY-7591	"PWY-7591"	RXN-16058 // RXN-16057 // RXN-16056 // RXN-16055 // RXN1F-150 // RXN-12412
PWY-6003	"PWY-6003"	RXN-9678 // RXN-9677 // RXN-9676
PWY-2841	"PWY-2841"	RXN-4681 // RXN-4662 // RXN-4661 // RXN-4641 // RXN-4621
PWY-7651	"PWY-7651"	RXN-16509 // 4.2.2.8-RXN // N-SULFOGLUCOSAMINE-SULFOHYDROLASE-RXN
PWY-7035	"PWY-7035"	RXN-14486 // RXN-14485 // RXN-14484 // RXN-13322 // RXN-20382 // RXN-20381 // RXN-20380 // RXN-20379 // RXN-20375 // RXN-20376 // RXN-20377 // RXN-20378 // RXN-13289 // RXN-13288
PWY-5302	"PWY-5302"	1.13.11.55-RXN
PWY-5796	"PWY-5796"	RXN-9101 // 2.7.8.25-RXN
PWY-5856	"PWY-5856"	2.5.1.39-RXN // RXN-9243 // RXN-9242 // 2.1.1.64-RXN // RXN-9238 // RXN-9241 // RXN-9240 // RXN-9239
PWY-7623	"PWY-7623"	RXN-16244
PWY-7015	"PWY-7015"	RXN-13146 // RXN-13165 // RXN-13204 // RXN-13203
PWY-5040	"PWY-5040"	RXN-7603 // RXN-7602
NAD-BIOSYNTHESIS-III	"NAD-BIOSYNTHESIS-III"	2.7.7.1-RXN // 2.4.2.12-RXN
PWY-7029	"PWY-7029"	RXN-13260
PWY-7878	"PWY-7878"	RXN-18611 // RXN-18612 // RXN-18613 // RXN-18614
PWY66-368	"PWY66-368"	ACETYL-COA-ACETYLTRANSFER-RXN // RXNI-2 // 3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN
PWY-5039	"PWY-5039"	RXN-7598 // RXN-7597 // RXN-7596
PWY-5915	"PWY-5915"	RXN-17523 // RXN-15985 // 1.3.7.2-RXN // 1.3.7.3-RXN
PWY-7636	"PWY-7636"	RXN-8187 // RXN-8186 // RXN-16409 // RXN-16410 // RXN-16411 // RXN-16412 // RXN-16414 // RXN-16413
PWY-7485	"PWY-7485"	RXN-15434 // RXN-15436 // RXN-15435 // RXN-15409 // RXN-14695 // RXN-15056 // RXN-15412 // RXN-15413 // RXN-11975
PWY-5038	"PWY-5038"	RXN-7601 // RXN-7600 // RXN-7597 // RXN-7596
PWY-7646	"PWY-7646"	4.2.2.19-RXN // RXN-12178 // RXN-11577 // CHONDRO-4-SULFATASE-RXN
P203-PWY	"P203-PWY"	R164-RXN
PWY-5037	"PWY-5037"	RXN-7599 // RXN-7598 // RXN-7597 // RXN-7596
PWY-5917	"PWY-5917"	RXN-17523 // RXN-15986 // 1.3.7.5-RXN
PWY-5871	"PWY-5871"	2.5.1.39-RXN // RXN-9284 // RXN-9281 // RXN-9278 // RXN-9243 // RXN-9242 // 2.1.1.64-RXN // RXN-9241
PWY-7637	"PWY-7637"	RXN-16440 // RXN-16443 // RXN-16442 // RXN-16439 // RXN-16437 // RXN-16436
PWY-7693	"PWY-7693"	RXN-20452 // RXN-16913 // RXN-16912 // RXN-16909 // RXN-16910 // RXN-14196 // GLYCINE-AMIDINOTRANSFERASE-RXN // RXN-16906 // RXN-16907 // RXN-16908 // RXN-16902 // RXN-16901 // RXN-16900
PWY-4922	"PWY-4922"	RXN-7404 // 6-HYDROXYMELLEIN-O-METHYLTRANSFERASE-RXN // RXN-7405
PWY-5653	"PWY-5653"	RXN-5721 // QUINOPRIBOTRANS-RXN // NAD-SYNTH-GLN-RXN // NICONUCADENYLYLTRAN-RXN
PWY-7882	"PWY-7882"	RXN-18656 // RXN-18655 // RXN-18654 // RXN-18653 // RXN-18648
PWY66-367	"PWY66-367"	ACETOACETATE-DECARBOXYLASE-RXN // 3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN // HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN // HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-5349	"PWY-5349"	RXN-16763 // RXN-16762
PWY-5963	"PWY-5963"	RXN-8351
PWY-7638	"PWY-7638"	RXN-16455 // RXN-8026 // RXN-8025 // RXN-16449
PWY-7812	"PWY-7812"	RXN-17988 // ANHYDROTETRACYCLINE-MONOOXYGENASE-RXN // RXN-17975 // RXN-17976 // RXN-17977 // RXN-17978 // RXN-17979 // RXN-17980 // RXN-17981
PWY-6982	"PWY-6982"	4-COUMARATE--COA-LIGASE-RXN // RXN-12965 // RXN-12963
PWY-7645	"PWY-7645"	HYALURONATE-LYASE-RXN // RXN-16485
MALATE-ASPARTATE-SHUTTLE-PWY	"MALATE-ASPARTATE-SHUTTLE-PWY"	MALATE-DEH-RXN // ASPAMINOTRANS-RXN
PWY-7304	"PWY-7304"	RXN-14548 // RXN-14665 // RXN-14664 // RXN-14663 // RXN-14666
PWY-5964	"PWY-5964"	RXN0-262
P283-PWY	"P283-PWY"	RXN0-4141
PWY-6708	"PWY-6708"	4OHBENZOATE-OCTAPRENYLTRANSFER-RXN // 3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN // 2-OCTAPRENYLPHENOL-HYDROX-RXN // 2-OCTAPRENYL-6-OHPHENOL-METHY-RXN // 2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN // 2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN // DHHB-METHYLTRANSFER-RXN // OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN
PWY-7939	"PWY-7939"	RXN-19135 // RXN1F-150
PWY-5634	"PWY-5634"	PWY-5633 // PWY-5632 // PWY-5631 // PWY-5630 // PWY-5629
PWY-5319	"PWY-5319"	DIHYDROCOUMARIN-LIPASE-RXN // RXN-8250
PWY3O-4107	"PWY3O-4107"	RXN-15025 // NAD-SYNTH-GLN-RXN // NICOTINAMID-RXN // NICOTINATEPRIBOSYLTRANS-RXN // NICONUCADENYLYLTRAN-RXN
PWY-6792	"PWY-6792"	RXN-12349 // RXN-12350 // CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN
PWY-6148	"PWY-6148"	CHORPYRLY-RXN // RXN-15742 // RXN-15741 // RXN-15734 // RXN-15733 // RXN-15732 // H2NEOPTERINALDOL-RXN // RXN-15555 // RXN-8124 // RXN-10010 // RXN-10011 // RXN-10012 // RXN-10013 // RXN-10014
PWY18C3-23	"PWY18C3-23"	RXN18C3-60
PWY-7940	"PWY-7940"	RXN-19138 // RXN-19139 // RXN-19140
PWY-6345	"PWY-6345"	RXN-18168 // RXN-18167 // RXN-10926 // RXN-10927 // RXN-10928 // RXN-10925 // RXN-10924 // RXN-10922
PWY-7186	"PWY-7186"	RXN-13473 // RXN-14168 // RXN-14166 // RXN-14167 // RXN-14165 // RXN-13470 // SCOPOLETIN-GLUCOSYLTRANSFERASE-RXN // RXN-14072 // RXN-14071 // RXN-14070 // RXN-1104 // RXN-1103 // PWY1F-467
PWY-5176	"PWY-5176"	RXN-8037 // RXN-8036 // RXN-8035 // 2.4.1.114-RXN // TRANS-CINNAMATE-2-MONOOXYGENASE-RXN
PWY-6420	"PWY-6420"	RXN-15446 // RXN-11178 // RXN-11179 // RXN-11180 // RXN-11181 // RXN-11177 // RXN-11176
PWY-6512	"PWY-6512"	1.12.1.3-RXN
PWY-5855	"PWY-5855"	RXN-9229 // RXN-9224 // RXN-9223 // RXN-9222 // RXN-9228 // RXN-9227 // RXN-9226 // RXN-9225
PWY-7947	"PWY-7947"	RXN-19183 // RXN-19179 // RXN-19178 // RXN-11647 // RXN-10643
PWY-7019	"PWY-7019"	RXN-13219 // RXN-13218 // RXN-13217 // RXN-13216 // RXN-13215 // RXN-13214 // RXN-13213
PWY-5365	"PWY-5365"	2.1.1.69-RXN // RXN-8387 // RXN-8386 // RXN-8383 // RXN-8382
NAD-BIOSYNTHESIS-II	"NAD-BIOSYNTHESIS-II"	RXN-5841 // RXN-5822 // NADPYROPHOSPHAT-RXN
PWY-7055	"PWY-7055"	RXN-13452 // RXN-13448 // RXN-13450 // RXN-13454
PWY-6476	"PWY-6476"	RXN0-6254
PWY18C3-22	"PWY18C3-22"	RXN-6723
PWY-7950	"PWY-7950"	RXN-19203 // RXN-19198 // RXN-19197 // RXN-19196 // RXN-19184
PWY-7564	"PWY-7564"	RXN-15914 // RXN-15913 // RXN-15912 // RXN-15911
PWY-7058	"PWY-7058"	RXN-14182 // RXN-13475 // RXN-13474 // RXN-13473 // RXN-13472 // RXN-13471 // RXN-13470
PWY-7398	"PWY-7398"	RXN-16763 // RXN-16762 // RXN-14988 // RXN-1126 // RXN-12965 // RXN-12963 // CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN // RXN-12350 // RXN-12349 // RXN-14987 // RXN-14990 // 4-COUMARATE--COA-LIGASE-RXN // RXN-9697
PWY-7064	"PWY-7064"	RXN-13485 // RXN-13484
PWY-5382	"PWY-5382"	HYDROGEN-DEHYDROGENASE-RXN
PWY-5870	"PWY-5870"	RXN-9280 // RXN-9283 // RXN-9277 // CHORPYRLY-RXN // 4OHBENZOATE-OCTAPRENYLTRANSFER-RXN // 2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN // 2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN // DHHB-METHYLTRANSFER-RXN // OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN
PWY-5397	"PWY-5397"	RXN-15980 // RXN-15979 // RXN-15978 // RXN-8477 // RXN-8470
PWY-5459	"PWY-5459"	1.1.1.283-RXN // PWY0-1317
PWY-7706	"PWY-7706"	RXN-19819 // RXN-18395 // RXN-18393 // RXN-16991 // RXN-16990 // RXN-16989 // RXN-16987 // RXN-16988 // RXN-16290 // RXN-16985 // RXN-16291 // RXN-16292 // RXN-16293
COLANSYN-PWY	"COLANSYN-PWY"	PWY-7346 // PWY-7344 // PWY-7343 // PWY-5659 // PWY-66 // UDPGLUCEPIM-RXN
PWY-7443	"PWY-7443"	RXN-9397 // RXN-10746 // 4.2.3.20-RXN
PWY-7170	"PWY-7170"	RXN-17523 // RXN-13968 // 1.3.7.4-RXN
PWY-4203	"PWY-4203"	RXN-6762 // RXN-6724 // RXN-6723 // RXN-6722
PWY-5305	"PWY-5305"	RXN-8239 // RXN-8238 // RXN-8237 // RXN-8236
PWY-7911	"PWY-7911"	RXN-18831 // RXN-18828 // RXN-18829 // RXN-13761 // RXN-18830
PWY-5423	"PWY-5423"	RXN-5142 // RXN-5121 // RXN-8565 // RXN-5143 // RXN-5110 // RXN-5106 // RXN-5107 // 4.2.3.16-RXN
PWY-8044	"PWY-8044"	RXN-20430 // RXN-20423 // RXN-20422 // RXN-20421 // RXN-20420 // RXN-20419 // RXN-20418 // RXN-20417 // RXN-20416
PWY-6437	"PWY-6437"	RXN-11276 // RXN-11275 // RXN-11274 // RXN-11273 // 4.2.3.10-RXN
PWY-7250	"PWY-7250"	RXN-15881 // RXN-14391 // RXN-14390 // RXN-14389 // RXN-14388 // RXN-14387 // RXN-14386 // RXN-14385 // RXN-14384 // RXN-14381
PWY-5873	"PWY-5873"	RXN-9287 // RXN-9286 // RXN-9288 // RXN-9229 // RXN-9222 // RXN-9228 // RXN-9227 // RXN-9226
PWY-6681	"PWY-6681"	RXN-11998 // RXN-11989 // RXN-11976 // RXN-12001 // RXN-12000 // RXN-11999 // RXN-11974
PWY-5386	"PWY-5386"	DLACTDEHYDROGFAD-RXN // GLYOXII-RXN // GLYOXI-RXN
PWY-5757	"PWY-5757"	RXN-19877 // RXN-19876 // RXN-9011 // RXN-9010 // RXN-9009 // 4.1.1.82-RXN // PHOSPHOENOLPYRUVATE-MUTASE-RXN
PWY-6449	"PWY-6449"	RXN-11273 // RXN-11275 // 4.2.3.10-RXN
PWY-5782	"PWY-5782"	RXN-9069 // RXN-8779 // RXN-8782 // D-SORBITOL-DEHYDROGENASE-RXN
PWY-3061	"PWY-3061"	1.14.13.104-RXN // RXN-5164 // RXN-5165 // RXN-5166 // RXN-5161 // RXN-5163 // RXN-5162 // --MENTHOL-DEHYDROGENASE-RXN // 4.2.3.16-RXN // +-NEOMENTHOL-DEHYDROGENASE-RXN // --LIMONENE-3-MONOOXYGENASE-RXN // ISOPIPERITENOL-DEHYDROGENASE-RXN
PWY-7578	"PWY-7578"	RXN-17523 // RXN-15988 // RXN-15986 // 1.3.7.5-RXN
PWY-5398	"PWY-5398"	RXN-8471 // RXN-8472 // RXN-8473 // RXN-8474 // RXN-8475 // RXN-8476
PWY-6666	"PWY-6666"	RXN-11898 // RXN-11897
PWY-5829	"PWY-5829"	RXN-9193 // GERANIOL-DEHYDROGENASE-RXN // RXN-8618
PWY-6436	"PWY-6436"	RXN-18735 // 4.2.3.16-RXN // --LIMONENE-7-MONOOXYGENASE-RXN
PWY-7579	"PWY-7579"	RXN-17523 // RXN-15990 // RXN-15985 // 1.3.7.2-RXN // 1.3.7.3-RXN
PWY-7233	"PWY-7233"	RXN-20172 // RXN3O-73 // RXN3O-12 // RXN-14321 // RXN-14322 // RXN3O-102 // RXN3O-75 // RXN3O-54 // RXN-14320 // RXN-14319
PWY-5458	"PWY-5458"	LACTALDDEHYDROG-RXN // 1.1.1.283-RXN // L-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN
PWY-7025	"PWY-7025"	RXN-14346 // RXN-14345 // RXN-13241 // RXN-13240 // RXN-13239 // RXN-13238 // RXN-13237 // RXN-13236 // RXN-13235 // RXN-13234 // RXN-13233 // RXN-13232
PWY-6447	"PWY-6447"	DIMETHYLALLYLCISTRANSFERASE-RXN // RXN-8584 // RXN-11279 // RXN-11288 // RXN-11286 // RXN-11284 // RXN-11282
PWY-7182	"PWY-7182"	4.2.3.26-RXN // GPPSYN-RXN
PWY-7580	"PWY-7580"	RXN-17523 // RXN-9292 // RXN-15985
ORNARGDEG-PWY	"ORNARGDEG-PWY"	ORNDEG-PWY // ARGDEG-PWY
PWY-7575	"PWY-7575"	PWY-7573 // PWY-6543 // PWY-6722
PWY-7697	"PWY-7697"	RXN-16940 // RXN-16939
PWY-5813	"PWY-5813"	GERANYL-DIPHOSPHATE-CYCLASE-RXN
PWY-7639	"PWY-7639"	RXN-16457 // RXN-16456
PWY-5857	"PWY-5857"	RXN-9232 // RXN-9231 // RXN-9230 // RXN-9237 // RXN-9236 // RXN-9235 // RXN-9234 // RXN-9233
PWY-5742	"PWY-5742"	RXN-8956 // 4.1.1.75-RXN // 1.2.1.54-RXN // GUANIDINOBUTYRASE-RXN
